COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808606259	"MARCHETTI Stefano-SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Terza edizione"	"Volume 2"	1490	224	", , 230x285, 2022"
9788808889058	"MARCHETTI Stefano-SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Terza edizione"	"Volume 1"	1710	304	", , 230x285, 2022"
9788808184849	"BENEDETTO Dario-DEGLI ESPOSTI Mirko-MAFFEI Carlotta"	"Matematica per scienze della vita"		"Terza edizione"	"Volume unico"	5200	544	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2015"
9788808920843	"CELATA Laura-RIGHI Alessandro"	"Il quaderno di fisica"	"Teoria veloce e tanti esercizi da fare sul libro"		"Volume unico"	1840	224	", , 230x285, 2018"
9788808196378	"QUAGLIERINI Carlo"	"Chimica delle fibre tessili"		"Seconda edizione"	"Volume unico con risorse digitali Scuolabook"	3040	352	"197x266, 2012"
9788808220233	"CAMPOS CABRERO Sonia-PIEROZZI Laura"	"Una vuelta por la cultura hispana"		"Terza edizione"	"Volume unico"	1990	216	", , 210x285, 2022"
9788808187642	"BULECHEK Gloria-BUTCHER Howard-JOHNSON Marion-MAAS Meridean-MOORHEAD Sue-RIGON Luisa Anna-SWANSON Elizabeth"	"Collegamenti NANDA-I con NOC e NIC"	"Sostenere il ragionamento clinico e la qualità dell'assistenza"	"Seconda edizione"	"Volume unico"	5700	576	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 166x240, 2014"
9788808249180	"CHIACCHIA Federica-SALEMI Piero"	"Corso di disegno"			"Volume 2"	2290	272	"210x285, 2013"
9788808900623	"CHIACCHIA Federica-SALEMI Piero"	"Corso di disegno"			"Volume unico"	3690	456	"210x285, 2013"
9788808221131	"ROMENI Claudio"	"Fisica e realtà.blu"		"Seconda edizione"	"Volume 1"	3500	576	", , 197x265, 2017"
9788808537416	"ROMENI Claudio"	"Fisica e realtà.blu"		"Seconda edizione"	"Volume 3"	3400	472	", , 197x265, 2017"
9788808832801	"ROMENI Claudio"	"Fisica e realtà.blu"		"Seconda edizione"	"Volume 2"	2970	432	", , 197x265, 2017"
9788808575708	"CORTELAZZO Manlio-CORTELAZZO Michele A-ZOLLI Paolo"	"Il nuovo etimologico"	"DELI. Dizionario Etimologico della Lingua Italiana"	"Seconda edizione"	"Volume unico"	12000	1856	", , 180x250, 1999"
9788808086877	"LEDONNE Giuseppina-LEININGER Madeleine-MCFARLAND Marilyn-NUCCHI Marta"	"Infermieristica transculturale"			"Volume unico"	6400	660	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2004"
9788808308092	"LOVATO Ilaria-MONTANI Mariachiara-PANTALEONI Laura"	"Scienze in Agenda"			"Idee per imparare"	1630	384	", , 0x0, 2022"
9788808420473	"LOVATO Ilaria-MONTANI Mariachiara-PANTALEONI Laura"	"Scienze in Agenda"			"Volume 1"	1680	416	", , 230x285, 2022"
9788808453945	"LOVATO Ilaria-MONTANI Mariachiara-PANTALEONI Laura"	"Scienze in Agenda"			"Volume 3"	1720	488	", , 230x285, 2022"
9788808473523	"LOVATO Ilaria-MONTANI Mariachiara-PANTALEONI Laura"	"Scienze in Agenda"			"Confezione A+B+C+D"	3840	1336	", , 230x285, 2022"
9788808914019	"LOVATO Ilaria-MONTANI Mariachiara-PANTALEONI Laura"	"Scienze in Agenda"			"Volume 2"	1690	424	", , 230x285, 2022"
9788808187178	"ANTONELLI Guido-CLEMENTI Massimo"	"Principi di Virologia medica"		"Terza edizione"	"Volume unico"	5050	448	", , 195x270, 2017"
9788808181794	"FANTAUZZI Annamaria"	"Di corpo in corpo"	"Etnografie tra cura e assistenza infermieristica"		"Volume unico"	3470	328	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2014"
